word, count, percent, cum
allein, 13, 0.06, 58.39
überall, 12, 0.06, 58.45
Überlegenheit, 12, 0.06, 58.50
zwei, 12, 0.06, 58.56
würde, 12, 0.06, 58.62
wirkungen, 12, 0.06, 58.67
umstände, 12, 0.06, 58.73
sind., 12, 0.06, 58.78
sieger, 12, 0.06, 58.84
sieg, 12, 0.06, 58.89
nämlich, 12, 0.06, 58.95
menschen, 12, 0.06, 59.00
lage, 12, 0.06, 59.06
können, 12, 0.06, 59.11
jedem, 12, 0.06, 59.17
ihnen, 12, 0.06, 59.22
größer, 12, 0.06, 59.28
größe, 12, 0.06, 59.33
gewöhnlich, 12, 0.06, 59.39
gegners, 12, 0.06, 59.44
feldherrn, 12, 0.06, 59.50
etwas, 12, 0.06, 59.55
erfolge, 12, 0.06, 59.61
darum, 12, 0.06, 59.66
dadurch, 12, 0.06, 59.72
bleibt, 12, 0.06, 59.77
akt, 12, 0.06, 59.83
zwischen, 11, 0.05, 59.88
wer, 11, 0.05, 59.93
wenigstens, 11, 0.05, 59.98
theorie, 11, 0.05, 60.03
teile, 11, 0.05, 60.08
solange, 11, 0.05, 60.13
nie, 11, 0.05, 60.18
leicht, 11, 0.05, 60.23
kriegerische, 11, 0.05, 60.28
ins, 11, 0.05, 60.33
ihrem, 11, 0.05, 60.39
höheren, 11, 0.05, 60.44
hat., 11, 0.05, 60.49
großer, 11, 0.05, 60.54
gefechts, 11, 0.05, 60.59
ersten, 11, 0.05, 60.64
erste, 11, 0.05, 60.69
dinge, 11, 0.05, 60.74
augenblick, 11, 0.05, 60.79
andere, 11, 0.05, 60.84
ziel, 10, 0.05, 60.89
wirkung, 10, 0.05, 60.93
verhältnis, 10, 0.05, 60.98
unsere, 10, 0.05, 61.02
stoß, 10, 0.05, 61.07
selten, 10, 0.05, 61.12
selbst,, 10, 0.05, 61.16
schlachten, 10, 0.05, 61.21
sagen,, 10, 0.05, 61.25
neue, 10, 0.05, 61.30
muß,, 10, 0.05, 61.35
meistens, 10, 0.05, 61.39
läßt, 10, 0.05, 61.44
leben, 10, 0.05, 61.48
können,, 10, 0.05, 61.53
kommt, 10, 0.05, 61.58
einmal, 10, 0.05, 61.62
denen, 10, 0.05, 61.67
zwar, 9, 0.04, 61.71
teils, 9, 0.04, 61.75
physischen, 9, 0.04, 61.79
machen,, 9, 0.04, 61.83
lange, 9, 0.04, 61.87
kriegskunst, 9, 0.04, 61.92
kleiner, 9, 0.04, 61.96
keinen, 9, 0.04, 62.00
keine, 9, 0.04, 62.04
kampf, 9, 0.04, 62.08
inneren, 9, 0.04, 62.12
handeln, 9, 0.04, 62.16
gegend, 9, 0.04, 62.21
freilich, 9, 0.04, 62.25
folge, 9, 0.04, 62.29
fall, 9, 0.04, 62.33
entweder, 9, 0.04, 62.37
bloßen, 9, 0.04, 62.41
absicht, 9, 0.04, 62.45
übrigen, 8, 0.04, 62.49
wirklich, 8, 0.04, 62.53
willen, 8, 0.04, 62.56
will,, 8, 0.04, 62.60
weit, 8, 0.04, 62.64
verstand, 8, 0.04, 62.67
